Establishment,Permit Holder,Telephone,Establishment Permit #,Establishment Address Street #,Establishment Address Street Name,Establishment Address Unit #,Establishment Address City,Establishment Address State,Establishment Address Zip Code,Mailing Address Street #,Mailing Address Street Name,Mailing Address Unit #,Mailing Address City,Mailing Address State,Mailing Address Zip Code,Mailing Care Of,PO BOX,Facility Permit #,Business Status,Facility Type,Risk Category,1st Inspection,TMKZone,TMKSection,TMKPlat,TMKParcel,Permit Expire Date
ROYAL ELEMENTARY SCHOOL,DEPARTMENT OF EDUCATION,(808)587-4516,112,"QUEEN EMMA STREET
HONOLULU, HAWAII 96813
(21.31150645597026, -157.85551563979888)",QUEEN EMMA STREET,   ,HONOLULU,HAWAII,96813,"QUEEN EMMA STREET
HONOLULU, HAWAII 96813
(21.31150645597026, -157.85551563979888)",QUEEN EMMA STREET,   ,HONOLULU,HAWAII,96813,,,112,Open,137 New and Renewal 1,Category 1,03/24/2011 12:00:00 AM,2,1,20,1,04/03/2013 12:00:00 AM
KAAHUMANU ELEMENTARY SCHOOL,DEPARTMENT OF EDUCATION,(808)587-4422,113,"KINAU STREET
HONOLULU, HAWAII 96814
(21.304264601794525, -157.847601627544)",KINAU STREET ,   ,HONOLULU,HAWAII,96814,"KINAU STREET
HONOLULU, HAWAII 96814
(21.304264601794525, -157.847601627544)",KINAU STREET ,   ,HONOLULU,HAWAII,96814,,,113,Open,137 New and Renewal 2,Category 2,05/04/2011 12:00:00 AM,2,4,12,1,05/10/2013 12:00:00 AM
MAUKALANI ELEMENTARY SCHOOL,DEPARTMENT OF EDUCATION,(808)499-5867,119,"PANANA STREET
KAPOLEI, HAWAII 96707
(21.356838814413365, -158.0838146822638)",PANANA STREET ,   ,KAPOLEI,HAWAII,96707,"PANANA STREET
KAPOLEI, HAWAII 96707
(21.356838814413365, -158.0838146822638)",PANANA STREET ,   ,KAPOLEI,HAWAII,96707,,,119,Open,137 New and Renewal 2,Category 2,05/24/2011 12:00:00 AM,9,2,19,21,05/10/2013 12:00:00 AM
MAKAKILO ELEMENTARY SCHOOL,DEPARTMENT OF EDUCATION,(808)693-7013,120,"ANIPEAHI STREET
KAPOLEI, HAWAII 96706
(21.34789752188587, -158.0819649267766)",ANIPEAHI STREET ,   ,KAPOLEI,HAWAII,96706,"ANIPEAHI STREET
KAPOLEI, HAWAII 96706
(21.34789752188587, -158.0819649267766)",ANIPEAHI STREET ,   ,KAPOLEI,HAWAII,96706,,,120,Open,137 New and Renewal 2,Category 2,05/15/2011 12:00:00 AM,9,2,9,59,05/10/2013 12:00:00 AM
KALANI HIGH SCHOOL CAFETERIA,DEPARTMENT OF EDUCATION,(808)377-2491,121,"KALANIANAOLE HIGHWAY
HONOLULU, HAWAII 96821
(21.278261186711564, -157.75269197359427)",KALANIANAOLE HIGHWAY ,   ,HONOLULU,HAWAII,96821,"KALANIANAOLE HIGHWAY
HONOLULU, HAWAII 96821
(21.278261186711564, -157.75269197359427)",KALANIANAOLE HIGHWAY ,   ,HONOLULU,HAWAII,96821,,,121,Open,137 New and Renewal 1,Category 1,04/20/2011 12:00:00 AM,3,5,20,4,05/10/2013 12:00:00 AM
HAUULA ELEMENTARY SCHOOL,DEPARTMENT OF EDUCATION,(808)293-8929,125,"KAMEHAMEHA HIGHWAY
HAUULA, HAWAII 96717
(21.57768472780256, -157.89125485644183)",KAMEHAMEHA HIGHWAY ,   ,HAUULA,HAWAII,96717,"KAMEHAMEHA HIGHWAY
HAUULA, HAWAII 96717
(21.57768472780256, -157.89125485644183)",KAMEHAMEHA HIGHWAY ,   ,HAUULA,HAWAII,96717,,,125,Open,137 New and Renewal 1,Category 1,06/20/2011 12:00:00 AM,5,4,9,4,05/12/2013 12:00:00 AM
MAUNALANI NURSING & REHABILITATION CENTER,MAUNALANI CORP.,(808)695-2801,127,"MAUNALANI CIRCLE
HONOLULU, HAWAII 96816
(21.290376884891856, -157.79073297741826)",MAUNALANI CIRCLE ,   ,HONOLULU,HAWAII,96816,"MAUNALANI CIRCLE
HONOLULU, HAWAII 96816
(21.290376884891856, -157.79073297741826)",MAUNALANI CIRCLE ,   ,HONOLULU,HAWAII,96816,,,127,Open,137 New and Renewal 1,Category 1,01/12/2011 12:00:00 AM,3,3,29,4,01/06/2013 12:00:00 AM
PAUOA ELEMENTARY SCHOOL,DEPARTMENT OF EDUCATION,,133,"PAUOA ROAD
HONOLULU, HAWAII 96813
(21.32002384859319, -157.84986736405986)",PAUOA ROAD ,   ,HONOLULU,HAWAII,96813,"PAUOA ROAD
HONOLULU, HAWAII 96813
(21.32002384859319, -157.84986736405986)",PAUOA ROAD ,   ,HONOLULU,HAWAII,96813,,,133,Open,137 New and Renewal 2,Category 2,05/09/2011 12:00:00 AM,2,2,16,20,05/25/2013 12:00:00 AM
HANAKI RESTAURANT,SCIM CORPORATION,(808)988-1551,139,"WOODLAWN DRIVE
HONOLULU, HAWAII 96822
(21.30718330212897, -157.81032287478018)",WOODLAWN DRIVE ,6-102,HONOLULU,HAWAII,96822,"WOODLAWN DRIVE
HONOLULU, HAWAII 96822
(21.30718330212897, -157.81032287478018)",WOODLAWN DRIVE,6-102,HONOLULU,HAWAII,96822,,,139,Open,137 New and Renewal 1,Category 1,04/07/2011 12:00:00 AM,2,9,22,1,04/06/2013 12:00:00 AM
"WAILANA COFFEE HOUSE, LLC.","KDI INVESTMENTS, INC.",(808)955-1764,142,"ALA MOANA BOULEVARD
HONOLULU, HAWAII 96815
(21.285143580295973, -157.83477418661556)",ALA MOANA BOULEVARD,   ,HONOLULU,HAWAII,96815,"ALA MOANA BOULEVARD
HONOLULU, HAWAII 96815
(21.285143580295973, -157.83477418661556)",ALA MOANA BOULEVARD,   ,HONOLULU,HAWAII,96815,,,142,Open,137 New and Renewal 1,Category 1,04/18/2011 12:00:00 AM,2,6,12,2,04/14/2013 12:00:00 AM
HALE MALAMALAMA,"ONO ENTERPRISE, LTD.",(808)396-0537,145,"SUMMER STREET
HONOLULU, HAWAII 96821
(21.285246559580663, -157.7229977613385)",SUMMER STREET ,   ,HONOLULU,HAWAII,96821,"SUMMER STREET
HONOLULU, HAWAII 96821
(21.285246559580663, -157.7229977613385)",SUMMER STREET ,   ,HONOLULU,HAWAII,96821,,,145,Open,137 New and Renewal 1,Category 1,06/07/2011 12:00:00 AM,3,8,3,5,06/29/2013 12:00:00 AM
HALE HO ALOHA,"HALE HO ALOHA, INC.",(808)524-1955,146,"PACIFIC HEIGHTS ROAD
HONOLULU, HAWAII 96813
(21.318255867800133, -157.8511494313466)",PACIFIC HEIGHTS ROAD,   ,HONOLULU,HAWAII,96813,"PACIFIC HEIGHTS ROAD
HONOLULU, HAWAII 96813
(21.318255867800133, -157.8511494313466)",PACIFIC HEIGHTS ROAD,   ,HONOLULU,HAWAII,96813,,,146,Open,137 New and Renewal 1,Category 1,12/21/2010 12:00:00 AM,2,2,23,36,01/09/2013 12:00:00 AM
MCDONALD'S OF DISCOVERY BAY,MCDONALD'S OF HAWAII,(808)532-1596,147,"ALA MOANA BOULEVARD
HONOLULU, HAWAII 96815
(21.285143580295973, -157.83477418661556)",ALA MOANA BOULEVARD,   ,HONOLULU,HAWAII,96815,"ALA MOANA BOULEVARD
HONOLULU, HAWAII 96815
(21.285143580295973, -157.83477418661556)",ALA MOANA BOULEVARD,   ,HONOLULU,HAWAII,96815,,,147,Open,137 New and Renewal 2,Category 2,04/11/2011 12:00:00 AM,2,6,10,1,04/06/2013 12:00:00 AM
SAMUEL WILDER KING INTERMEDIATE SCHOOL,DEPARTMENT OF EDUCATION,(808)233-5739,153,"KAMEHAMEHA HIGHWAY
KANEOHE, HAWAII 96744
(21.40322830973858, -157.7994698909329)",KAMEHAMEHA HIGHWAY ,   ,KANEOHE,HAWAII,96744,"KAMEHAMEHA HIGHWAY
KANEOHE, HAWAII 96744
(21.40322830973858, -157.7994698909329)",KAMEHAMEHA HIGHWAY ,   ,KANEOHE,HAWAII,96744,,,153,Open,137 New and Renewal 1,Category 1,06/02/2011 12:00:00 AM,4,6,4,2,05/12/2013 12:00:00 AM
TIMES COFFEE SHOP,"SAUTU ENTERPRISES, INC.",(808)262-0300,156,"HAMAKUA DRIVE
KAILUA, HAWAII 96734
(21.39331778097568, -157.7450384251095)",HAMAKUA DRIVE ,   ,KAILUA,HAWAII,96734,"HAMAKUA DRIVE
KAILUA, HAWAII 96734
(21.39331778097568, -157.7450384251095)",HAMAKUA DRIVE ,   ,KAILUA,HAWAII,96734,,,156,Open,137 New and Renewal 1,Category 1,03/31/2011 12:00:00 AM,4,2,38,53,04/21/2013 12:00:00 AM
AUGUST AHRENS ELEMENTARY SCHOOL (CAFETERIA),DEPARTMENT OF EDUCATION,(808)675-0207,161,"WAIPAHU STREET
WAIPAHU, HAWAII 96797
(21.398133865027006, -157.99354745002373)",WAIPAHU STREET ,   ,WAIPAHU,HAWAII,96797,"WAIPAHU STREET
WAIPAHU, HAWAII 96797
(21.398133865027006, -157.99354745002373)",WAIPAHU STREET ,   ,WAIPAHU,HAWAII,96797,,,161,Open,137 New and Renewal 1,Category 1,05/19/2011 12:00:00 AM,9,4,59,72,05/10/2013 12:00:00 AM
"AUGUST AHRENS ELEMENTARY SCHOOL, BLDG I",DEPARTMENT OF EDUCATION,(808)675-0207,162,"WAIPAHU STREET
WAIPAHU, HAWAII 96797
(21.398133865027006, -157.99354745002373)",WAIPAHU STREET ,   ,WAIPAHU,HAWAII,96797,"WAIPAHU STREET
WAIPAHU, HAWAII 96797
(21.398133865027006, -157.99354745002373)",WAIPAHU STREET ,   ,WAIPAHU,HAWAII,96797,,,162,Open,137 New and Renewal 3,Category 3,05/19/2011 12:00:00 AM,9,4,59,72,05/10/2013 12:00:00 AM
AUGUST AHRENS ELEMENTARY SCHOOL,DEPARTMENT OF EDUCATION,(808)675-0207,163,"WAIPAHU STREET
WAIPAHU, HAWAII 96797
(21.398133865027006, -157.99354745002373)",WAIPAHU STREET ,BLDG J   ,WAIPAHU,HAWAII,96797,"WAIPAHU STREET
WAIPAHU, HAWAII 96797
(21.398133865027006, -157.99354745002373)",WAIPAHU STREET ,BLDG J   ,WAIPAHU,HAWAII,96797,,,163,Open,137 New and Renewal 3,Category 3,05/19/2011 12:00:00 AM,9,4,59,72,05/10/2013 12:00:00 AM
"MCDONALD'S RESTAURANTS OF HAWAII, INC. #5898","MCDONALD'S RESTAURANTS OF HAWAII, INC.",(614)682-1208,164,"WAIMANO HOME ROAD
PEARL CITY, HAWAII 96782
(21.420091217783277, -157.94459602553118)",WAIMANO HOME ROAD,   ,PEARL CITY,HAWAII,96782,"COLUMBUS, OHIO 43218
(39.96851000043631, -83.02441999968306)",,   ,COLUMBUS,OHIO,43218,,182989,164,Open,137 New and Renewal 2,Category 2,04/06/2011 12:00:00 AM,9,7,31,24,04/14/2013 12:00:00 AM
HONOWAI ELEMENTARY SCHOOL,DEPARTMENT OF EDUCATION,(808)686-7172,165,"HONOWAI STREET
WAIPAHU, HAWAII 96797
(21.381324644390066, -158.029775604438)",HONOWAI STREET ,   ,WAIPAHU,HAWAII,96797,"HONOWAI STREET
WAIPAHU, HAWAII 96797
(21.381324644390066, -158.029775604438)",HONOWAI STREET ,   ,WAIPAHU,HAWAII,96797,,,165,Open,137 New and Renewal 1,Category 1,05/19/2011 12:00:00 AM,9,4,53,117,05/11/2013 12:00:00 AM
MALUHIA HOSPITAL,STATE OF HAWAII,(808)832-6149,167,"HALA DRIVE
HONOLULU, HAWAII 96817
(21.329783588801742, -157.86277448812874)",HALA DRIVE ,   ,HONOLULU,HAWAII,96817,"HALA DRIVE
HONOLULU, HAWAII 96817
(21.329783588801742, -157.86277448812874)",HALA DRIVE ,   ,HONOLULU,HAWAII,96817,,,167,Open,137 New and Renewal 1,Category 1,01/12/2011 12:00:00 AM,1,6,9,4,01/14/2013 12:00:00 AM
WAHIAWA GENERAL HOSPITAL,WAHIAWA GENERAL HOSPITAL,(808)621-4263,170,"LEHUA STREET
WAHIAWA, HAWAII 96786
(21.47427475005327, -158.02564038808154)",LEHUA STREET ,   ,WAHIAWA,HAWAII,96786,"LEHUA STREET
WAHIAWA, HAWAII 96786
(21.47427475005327, -158.02564038808154)",LEHUA STREET ,   ,WAHIAWA,HAWAII,96786, DIETARY MANAGER,,170,Open,137 New and Renewal 1,Category 1,01/18/2011 12:00:00 AM,7,4,6,40,01/14/2013 12:00:00 AM
LINAPUNI ELEMENTARY SCHOOL,DEPARTMENT OF EDUCATION,(808)832-3215,174,"LINAPUNI STREET
HONOLULU, HAWAII 96819
(21.33994751514686, -157.87381234648495)",LINAPUNI STREET ,   ,HONOLULU,HAWAII,96819,"LINAPUNI STREET
HONOLULU, HAWAII 96819
(21.33994751514686, -157.87381234648495)",LINAPUNI STREET ,   ,HONOLULU,HAWAII,96819,,,174,Open,137 New and Renewal 3,Category 3,05/09/2011 12:00:00 AM,1,3,39,5,05/25/2013 12:00:00 AM
PEARL CITY HIGH SCHOOL,DEPARTMENT OF EDUCATION,(808)453-6522,181,"HOOKIEKIE STREET
PEARL CITY, HAWAII 96782
(21.41232495206495, -157.95477830878286)",HOOKIEKIE STREET ,   ,PEARL CITY,HAWAII,96782,"HOOKIEKIE STREET
PEARL CITY, HAWAII 96782
(21.41232495206495, -157.95477830878286)",HOOKIEKIE STREET ,   ,PEARL CITY,HAWAII,96782, SCOTT S. AKAMINE,,181,Open,137 New and Renewal 1,Category 1,05/09/2011 12:00:00 AM,9,7,25,1,05/03/2013 12:00:00 AM
MOMILANI ELEMENTARY SCHOOL,DEPARTMENT OF EDUCATION,(808)453-6522,182,"HOOKIEKIE STREET
PEARL CITY, HAWAII 96782
(21.41232495206495, -157.95477830878286)",HOOKIEKIE STREET ,   ,PEARL CITY,HAWAII,96782,"HOOKIEKIE STREET
PEARL CITY, HAWAII 96782
(21.41232495206495, -157.95477830878286)",HOOKIEKIE STREET ,   ,PEARL CITY,HAWAII,96782,,,182,Open,137 New and Renewal 3,Category 3,05/26/2011 12:00:00 AM,9,7,25,1,05/03/2013 12:00:00 AM
NUUANU HALE,"FAMILY HEALTH, INC.",(808)595-6311,184,"PALI HIGHWAY
HONOLULU, HAWAII 96817
(21.330072959265152, -157.84394136528178)",PALI HIGHWAY ,   ,HONOLULU,HAWAII,96817,"PALI HIGHWAY
HONOLULU, HAWAII 96817
(21.330072959265152, -157.84394136528178)",PALI HIGHWAY ,   ,HONOLULU,HAWAII,96817,,,184,Open,137 New and Renewal 2,Category 2,01/12/2011 12:00:00 AM,1,8,10,5,01/16/2013 12:00:00 AM
KAIMUKI INTERMEDIATE SCHOOL,DEPARTMENT OF EDUCATION,(808)733-4805,194,"18TH AVENUE
HONOLULU, HAWAII 96816
(21.267241110859295, -157.79945244551882)",18TH AVENUE ,   ,HONOLULU,HAWAII,96816,"18TH AVENUE
HONOLULU, HAWAII 96816
(21.267241110859295, -157.79945244551882)",18TH AVENUE ,   ,HONOLULU,HAWAII,96816,,,194,Open,137 New and Renewal 1,Category 1,05/10/2011 12:00:00 AM,3,2,59,2,05/25/2013 12:00:00 AM
WAIALAE ELEMENTARY SCHOOL,DEPARTMENT OF EDUCATION,(808)733-4880,198,"19TH AVENUE
HONOLULU, HAWAII 96816
(21.27803718610403, -157.79201315676877)",19TH AVENUE ,   ,HONOLULU,HAWAII,96816,"19TH AVENUE
HONOLULU, HAWAII 96816
(21.27803718610403, -157.79201315676877)",19TH AVENUE ,   ,HONOLULU,HAWAII,96816,,,198,Open,137 New and Renewal 1,Category 1,05/16/2011 12:00:00 AM,3,2,45,3,06/02/2013 12:00:00 AM
JOHN H. WILSON ELEMENTARY SCHOOL,DEPARTMENT OF EDUCATION,(808)733-4744,199,"KILAUEA AVENUE
HONOLULU, HAWAII 96816
(21.26842443415663, -157.7915108909736)",KILAUEA AVENUE ,   ,HONOLULU,HAWAII,96816,"KILAUEA AVENUE
HONOLULU, HAWAII 96816
(21.26842443415663, -157.7915108909736)",KILAUEA AVENUE ,   ,HONOLULU,HAWAII,96816,,,199,Open,137 New and Renewal 1,Category 1,08/26/2011 12:00:00 AM,3,5,17,12,07/20/2013 12:00:00 AM
"SHIROKIYA, INC. (GROCERY)","SHIROKIYA, INC.",(808)973-9116,205,"ALA MOANA BOULEVARD
HONOLULU, HAWAII 96814
(21.28823767336588, -157.84028676965752)",ALA MOANA BOULEVARD,2250   ,HONOLULU,HAWAII,96814,"ALA MOANA BOULEVARD
HONOLULU, HAWAII 96814
(21.28823767336588, -157.84028676965752)",ALA MOANA BOULEVARD,2250,HONOLULU,HAWAII,96814,,,205,Open,137 New and Renewal 3,Category 3,03/28/2011 12:00:00 AM,2,3,38,1,04/09/2013 12:00:00 AM
SHRINER'S HOSPITAL FOR CHILDREN,SHRINER'S HOSPITALS,(808)951-3607,206,"PUNAHOU STREET
HONOLULU, HAWAII 96826
(21.300880917875517, -157.83397887768308)",PUNAHOU STREET ,   ,HONOLULU,HAWAII,96826,"PUNAHOU STREET
HONOLULU, HAWAII 96826
(21.300880917875517, -157.83397887768308)",PUNAHOU STREET ,   ,HONOLULU,HAWAII,96826,,,206,Open,137 New and Renewal 1,Category 1,01/26/2011 12:00:00 AM,2,4,7,1,01/29/2013 12:00:00 AM
CRAWFORD'S CONVALESCENT HOME,"LEKI, INC.",(808)638-8514,208,"KAMEHAMEHA HIGHWAY
HALEIWA, HAWAII 96712
(21.678410139474995, -158.03346550063853)",KAMEHAMEHA HIGHWAY ,   ,HALEIWA,HAWAII,96712,"KAMEHAMEHA HIGHWAY
HALEIWA, HAWAII 96712
(21.678410139474995, -158.03346550063853)",KAMEHAMEHA HIGHWAY ,   ,HALEIWA,HAWAII,96712,,,208,Open,137 New and Renewal 1,Category 1,01/18/2011 12:00:00 AM,5,8,1,51,01/29/2013 12:00:00 AM
HONG KONG NOODLE HOUSE,FUSAN ENTERPRISES,(808)536-5409,209,"NORTH BERETANIA STREET
HONOLULU, HAWAII 96817
(21.314285361040817, -157.86195478552867)",NORTH BERETANIA STREET,171 & 172 ,HONOLULU,HAWAII,96817,"NORTH BERETANIA STREET
HONOLULU, HAWAII 96817
(21.314285361040817, -157.86195478552867)",NORTH BERETANIA STREET,171 & 172 ,HONOLULU,HAWAII,96817,,,209,Open,137 New and Renewal 1,Category 1,03/24/2011 12:00:00 AM,1,7,5,19,04/14/2013 12:00:00 AM
ZIPPY'S MAKIKI,"FCH ENTERPRISES, INC.",(808)973-0880,213,"SOUTH KING STREET
HONOLULU, HAWAII 96814
(21.30180917995799, -157.8494919318624)",SOUTH KING STREET,   ,HONOLULU,HAWAII,96814,"SOUTH KING STREET
HONOLULU, HAWAII 96826
(21.28996578888771, -157.8182999635788)",SOUTH KING STREET,   ,HONOLULU,HAWAII,96826,,,213,Open,137 New and Renewal 1,Category 1,03/16/2011 12:00:00 AM,2,4,4,27,04/01/2013 12:00:00 AM
TACO BELL #6 KAPAHULU,"TACO ALOHA, INC.",(808)566-5247,216,"KAPAHULU AVENUE
HONOLULU, HAWAII 96816
(21.287804823888052, -157.81283381628828)",KAPAHULU AVENUE ,   ,HONOLULU,HAWAII,96816,"FORT STREET MALL
HONOLULU, HAWAII 96813
(21.31198022982935, -157.85804219770066)",FORT STREET MALL,130,HONOLULU,HAWAII,96813,,,216,Open,137 New and Renewal 2,Category 2,07/05/2011 12:00:00 AM,3,1,5,18,06/30/2013 12:00:00 AM
ZIPPY'S WAIPAHU,"FCH ENTERPRISES, INC.",(808)973-0880,220,"FARRINGTON HIGHWAY
WAIPAHU, HAWAII 96797
(21.39596077521469, -157.98406389742595)",FARRINGTON HIGHWAY ,   ,WAIPAHU,HAWAII,96797,"SOUTH KING STREET
HONOLULU, HAWAII 96826
(21.28996578888771, -157.8182999635788)",SOUTH KING STREET,   ,HONOLULU,HAWAII,96826,,,220,Open,137 New and Renewal 1,Category 1,03/16/2011 12:00:00 AM,9,4,47,32,04/01/2013 12:00:00 AM
LIHOLIHO ELEMENTARY SCHOOL CAFETERIA,DEPARTMENT OF EDUCATION,(808)733-8478,223,"MAUNALOA AVENUE
HONOLULU, HAWAII 96816
(21.271691226076655, -157.7932044751274)",MAUNALOA AVENUE ,   ,HONOLULU,HAWAII,96816,"MAUNALOA AVENUE
HONOLULU, HAWAII 96816
(21.271691226076655, -157.7932044751274)",MAUNALOA AVENUE ,   ,HONOLULU,HAWAII,96816,,,223,Open,137 New and Renewal 3,Category 3,10/06/2011 12:00:00 AM,3,2,21,35,08/06/2013 12:00:00 AM
ZIPPY'S KOKO MARINA,"FCH ENTERPRISES, INC.",(808)973-0880,224,"KALANIANAOLE HIGHWAY
HONOLULU, HAWAII 96825
(21.291425182167547, -157.66364310878694)",KALANIANAOLE HIGHWAY ,   ,HONOLULU,HAWAII,96825,"SOUTH KING STREET
HONOLULU, HAWAII 96826
(21.28996578888771, -157.8182999635788)",SOUTH KING STREET,   ,HONOLULU,HAWAII,96826,,,224,Open,137 New and Renewal 1,Category 1,03/16/2011 12:00:00 AM,3,9,48,9,04/01/2013 12:00:00 AM
YANAGI SUSHI,"YANAGI SUSHI, INC.",,225,"KAPIOLANI BOULEVARD
HONOLULU, HAWAII 96813
(21.299794180619596, -157.85328553929313)",KAPIOLANI BOULEVARD ,   ,HONOLULU,HAWAII,96813,"KAPIOLANI BOULEVARD
HONOLULU, HAWAII 96813
(21.299794180619596, -157.85328553929313)",KAPIOLANI BOULEVARD ,   ,HONOLULU,HAWAII,96813,DAVID HANUS,,225,Open,137 New and Renewal 1,Category 1,03/24/2011 12:00:00 AM,2,1,44,34,04/09/2013 12:00:00 AM
